ddate,ddate,MONTH,DAY,YEAR,Week,TotalBugs,Nem_Count,Othdip_Count,Homo_Count,Coleo_Count,Hymeno_Count,Thysano_Count,Arach_Count,Ephemo_Count,Hemi_Count,Lepido_Count,Trico_Count,Odona_Count,Nem_Mass,Othdip_Mass,Homo_Mass,Coleo_Mass,Hymeno_Mass,Thysano_Mass,Arach_Mass,Ephemo_Mass,Hemi_Mass,Lepido_Mass,Trico_Mass,Odona_Mass,All,Aquatic,Terrestrial,Flying,Irruptive,qualityissue,missinguncounted,flag
22-Apr-89,32620,4,22,1989,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0.296904714,0,0,0,0,0,0,0,0,0,0,0,0.296904714,0.296904714,0,0.296904714,0.296904714,0,0,0
23-Apr-89,32621,4,23,1989,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24-Apr-89,32622,4,24,1989,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0.593809428,0,0,0,0,0,0,0,0,0,0,0,0.593809428,0.593809428,0,0.593809428,0.593809428,0,0,0
25-Apr-89,32623,4,25,1989,17,66,43,1,0,18,2,2,0,0,0,0,0,0,12.76690271,0.191596593,0,4.519204404,3.302363047,1.033882265,0,0,0,0,0,0,21.81394902,12.9584993,9.047046308,16.26086235,12.76690271,0,0,0
26-Apr-89,32624,4,26,1989,17,212,168,0,0,27,4,12,1,0,0,0,0,0,59.43384474,0,0,6.778806606,6.604726093,6.203293587,0.334035168,0,0,0,0,0,79.02067103,59.43384474,19.58682629,66.03857084,59.43384474,0,0,0
27-Apr-89,32625,4,27,1989,17,156,113,0,0,12,2,28,1,0,0,0,0,0,41.734904,0,0,3.012802936,3.302363047,14.4743517,0.334035168,0,0,0,0,0,62.52442168,41.734904,20.78951769,45.03726704,41.734904,0,0,0
28-Apr-89,32626,4,28,1989,17,76,52,1,0,19,0,1,3,0,0,0,0,0,23.43898248,2.294467007,0,4.770271315,0,0.516941132,1.002105503,0,0,0,0,0,31.02066194,25.73344949,7.581679454,25.73344949,23.43898248,0,0,0
29-Apr-89,32627,4,29,1989,17,25,22,1,0,1,1,0,0,0,0,0,0,0,7.701142468,0.191596593,0,0.251066911,1.651181523,0,0,0,0,0,0,0,9.794987495,7.892739061,2.093845027,9.543920584,7.701142468,0,0,0
30-Apr-89,32628,4,30,1989,18,624,434,7,0,96,20,53,10,0,4,0,0,0,176.4107583,3.519580447,0,64.44579299,33.02363047,27.39788001,5.237906376,0,9.822116754,0,0,0,314.619759,179.9303388,138.2090007,212.9539692,176.4107583,0,0,0
01-May-89,32629,5,1,1989,18,178,168,0,0,5,0,3,2,0,0,0,0,0,68.60302085,0,0,1.255334557,0,1.550823397,2.565625034,0,0,0,0,0,71.4091788,68.60302085,2.806157953,68.60302085,68.60302085,0,0,0
02-May-89,32630,5,2,1989,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-May-89,32631,5,3,1989,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0.593809428,0,0,0,0,0,0,0,0,0,0,0,0.593809428,0.593809428,0,0.593809428,0.593809428,0,0,0
04-May-89,32632,5,4,1989,18,713,583,4,0,59,23,39,5,0,0,0,0,0,261.8003906,3.595391551,0,31.09994646,37.97717504,20.16070416,1.670175839,0,0,0,0,0,354.6336078,265.3957821,92.83321721,303.3729572,261.8003906,0,0,0
05-May-89,32633,5,5,1989,18,7,7,0,0,0,0,0,0,0,0,0,0,0,2.078332999,0,0,0,0,0,0,0,0,0,0,0,2.078332999,2.078332999,0,2.078332999,2.078332999,0,0,0
06-May-89,32634,5,6,1989,18,128,121,0,0,5,1,0,1,0,0,0,0,0,43.52552233,0,0,1.255334557,1.651181523,0,0.334035168,0,0,0,0,0,46.43203841,43.52552233,2.90651608,45.17670385,43.52552233,0,0,0
07-May-89,32635,5,7,1989,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-May-89,32636,5,8,1989,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
09-May-89,32637,5,9,1989,19,207,165,5,0,20,9,6,2,0,0,0,0,0,58.74307331,8.771324571,0,6.346136164,18.07802437,3.101646794,0.668070336,0,0,0,0,0,95.04020521,67.51439789,36.2971319,85.59242226,58.74307331,0,0,0
10-May-89,32638,5,10,1989,19,10,10,0,0,0,0,0,0,0,0,0,0,0,2.969047141,0,0,0,0,0,0,0,0,0,0,0,2.969047141,2.969047141,0,2.969047141,2.969047141,0,0,0
11-May-89,32639,5,11,1989,19,161,161,0,0,0,0,0,0,0,0,0,0,0,53.64785276,0,0,0,0,0,0,0,0,0,0,0,53.64785276,53.64785276,0,53.64785276,53.64785276,0,0,0
12-May-89,32640,5,12,1989,19,90,86,0,0,4,0,0,0,0,0,0,0,0,26.70304417,0,0,1.004267645,0,0,0,0,0,0,0,0,27.70731182,26.70304417,1.004267645,26.70304417,26.70304417,0,0,0
13-May-89,32641,5,13,1989,19,157,104,1,0,36,4,10,2,0,0,0,0,0,47.15816417,0.917731359,0,10.36320675,6.604726093,5.169411323,0.668070336,0,0,0,0,0,70.21323969,48.07589553,23.05507552,54.68062163,47.15816417,0,0,0
14-May-89,32642,5,14,1989,20,24,7,0,0,9,6,2,0,0,0,0,0,0,2.078332999,0,0,2.259602202,9.90708914,1.033882265,0,0,0,0,0,0,15.27890661,2.078332999,13.20057361,11.98542214,2.078332999,0,0,0
15-May-89,32643,5,15,1989,20,508,185,16,0,102,20,178,7,0,0,0,0,0,66.61975968,3.79168025,0,33.55761258,36.24102113,92.01552154,6.133355571,0,0,0,0,0,232.2255952,70.41143993,165.6058355,106.6524611,66.61975968,0,0,0
16-May-89,32644,5,16,1989,20,99,71,0,0,15,6,5,1,0,0,1,1,0,22.24947346,0,0,6.415599545,9.90708914,2.584705661,2.231589866,0,0,0,7.943282347,0,49.10015015,30.19275581,18.90739435,40.09984495,22.24947346,0,0,0
17-May-89,32645,5,17,1989,20,122,47,1,0,15,16,42,1,0,0,0,0,0,14.53914094,0.191596593,0,3.76600367,26.41890437,21.71152755,0.334035168,0,0,0,0,0,66.62717313,14.73073754,52.08803219,41.14964191,14.53914094,0,0,0
18-May-89,32646,5,18,1989,20,945,179,37,0,73,548,94,10,0,4,0,0,0,64.8383314,10.71974776,0,111.0370611,2503.890633,48.59246643,18.52078926,0,9.822116754,0,0,0,2748.900357,75.55807916,2684.062025,2579.448712,64.8383314,0,0,0
19-May-89,32647,5,19,1989,20,1023,97,63,0,80,556,220,0,0,7,0,0,0,38.93822942,21.28373565,0,53.82762063,2646.874148,113.7270491,0,0,17.99305199,0,0,0,2892.643835,60.22196507,2853.705605,2707.096113,38.93822942,0,0,0
20-May-89,32648,5,20,1989,20,133,32,3,0,2,9,86,0,0,1,0,0,0,10.08557023,1.300924544,0,1.82693176,18.07802437,44.45693737,0,0,1.651181523,0,0,0,77.3995698,11.38649477,67.31399957,29.46451915,10.08557023,0,0,0
21-May-89,32649,5,21,1989,21,30,26,0,0,0,4,0,0,0,0,0,0,0,10.05800008,0,0,0,6.604726093,0,0,0,0,0,0,0,16.66272618,10.05800008,6.604726093,16.66272618,10.05800008,0,0,0
22-May-89,32650,5,22,1989,21,22,11,1,0,2,4,4,0,0,0,0,0,0,3.265951855,0.191596593,0,4.865951079,6.604726093,2.067764529,0,0,0,0,0,0,16.99599015,3.457548448,13.73003829,10.06227454,3.265951855,0,0,0
23-May-89,32651,5,23,1989,21,322,312,1,0,2,0,7,0,0,0,0,0,0,100.2343227,0.191596593,0,0.502133823,0,3.618587926,0,0,0,0,0,0,104.5466411,100.4259193,4.312318341,100.4259193,100.2343227,0,0,0
24-May-89,32652,5,24,1989,21,45,39,1,0,2,0,3,0,0,0,0,0,0,12.74852261,0.191596593,0,0.502133823,0,1.550823397,0,0,0,0,0,0,14.99307642,12.9401192,2.244553812,12.9401192,12.74852261,0,0,0
25-May-89,32653,5,25,1989,21,134,87,8,0,11,8,20,0,0,0,0,0,0,29.92304578,1.532772742,0,12.81416848,13.20945219,10.33882265,0,0,0,0,0,0,67.81826183,31.45581852,37.89521605,44.66527071,29.92304578,0,0,0
26-May-89,32654,5,26,1989,21,58,22,2,0,2,9,22,0,0,1,0,0,0,9.455000604,0.383193185,0,0.502133823,18.07802437,11.37270491,0,0,1.651181523,0,0,0,41.44223842,9.838193789,31.98723781,27.91621816,9.455000604,0,0,0
27-May-89,32655,5,27,1989,21,114,110,3,0,1,0,0,0,0,0,0,0,0,35.58261545,0.574789778,0,0.251066911,0,0,0,0,0,0,0,0,36.40847214,36.15740522,0.82585669,36.15740522,35.58261545,0,0,0
28-May-89,32656,5,28,1989,22,24,16,0,0,1,4,3,0,0,0,0,0,0,4.750475426,0,0,0.251066911,6.604726093,1.550823397,0,0,0,0,0,0,13.15709183,4.750475426,8.406616402,11.35520152,4.750475426,0,0,0
29-May-89,32657,5,29,1989,22,173,92,14,0,25,18,20,2,0,2,0,0,0,34.93049438,9.142031309,0,16.32910523,39.3734394,10.33882265,4.463179732,0,6.519753707,0,0,0,116.6336467,44.07252569,81.7031523,83.44596509,34.93049438,0,0,0
30-May-89,32658,5,30,1989,22,132,26,13,0,16,50,26,0,0,0,1,1,0,12.99630574,5.39529477,0,6.666666457,93.28968406,13.44046944,0,0,0,0,0.074642639,0,131.8630631,18.46624314,118.7921147,111.7559272,12.99630574,0,0,0
31-May-89,32659,5,31,1989,22,219,96,15,0,30,43,34,0,0,1,0,0,0,37.287352,9.984228784,0,7.53200734,71.0008055,17.5759985,0,0,1.651181523,0,0,0,145.0315736,47.27158078,107.7442216,118.2723863,37.287352,0,0,0
01-Jun-89,32660,6,1,1989,22,218,68,37,0,58,26,28,0,0,0,1,1,0,27.02021915,21.53623537,0,15.88667879,50.44393684,14.4743517,0,0,0,0,0.074642639,0,129.4360645,48.63109716,102.3412027,99.075034,27.02021915,0,0,0
02-Jun-89,32661,6,2,1989,22,55,27,5,0,5,15,1,1,0,1,0,0,0,13.09326774,0.957982964,0,1.255334557,24.76772285,0.516941132,0.334035168,0,1.651181523,0,0,0,42.24243076,14.0512507,29.14916303,38.81897355,13.09326774,0,0,0
03-Jun-89,32662,6,3,1989,22,373,240,41,0,46,28,15,0,0,3,0,0,0,147.503994,22.15155397,0,26.87781421,75.64488009,7.754116984,0,0,18.90154312,0,0,0,298.8339023,169.6555479,151.3299084,245.300428,147.503994,0,0,0
04-Jun-89,32663,6,4,1989,23,61,35,9,0,5,9,2,1,0,0,0,0,0,13.89938127,3.827239749,0,1.255334557,14.86063371,1.033882265,2.231589866,0,0,0,0,0,34.87647155,17.72662101,20.97709028,32.58725473,13.89938127,0,0,0
05-Jun-89,32664,6,5,1989,23,962,818,43,0,74,19,8,0,0,0,0,0,0,894.5094122,15.2733995,0,28.21907254,37.80723027,4.135529058,0,0,0,0,0,0,979.9446436,909.7828117,85.43523136,947.590042,894.5094122,0,0,0
06-Jun-89,32665,6,6,1989,23,348,272,18,0,27,24,6,0,0,0,1,1,0,240.3242974,6.353277733,0,6.778806606,42.84574722,3.101646794,0,0,0,0,0.074642639,0,299.4784184,246.7522178,59.07947835,289.597965,240.3242974,0,0,0
07-Jun-89,32666,6,7,1989,23,680,564,58,0,25,14,15,0,1,0,3,3,0,656.0986399,65.58983557,0,10.64049004,23.11654133,7.754116984,0,0.441832252,0,0,2.437466012,0,766.0789221,724.5677737,107.1009839,747.6843151,656.5404722,0,0,0
08-Jun-89,32667,6,8,1989,23,716,582,30,0,64,12,17,11,0,0,0,0,0,569.3114258,29.75667487,0,28.3579993,19.81417828,8.787999248,9.367050941,0,0,0,0,0,656.0282775,599.0681006,86.7168517,618.8822789,569.3114258,0,0,0
09-Jun-89,32668,6,9,1989,23,113,86,11,0,3,7,3,1,2,0,0,0,0,67.54812804,2.833697286,0,0.753200734,17.99305199,1.550823397,2.231589866,0.157297826,0,0,0,0,90.83619927,70.53912316,23.1307734,88.53217514,67.70542587,0,0,0
10-Jun-89,32669,6,10,1989,23,57,48,4,0,1,3,0,0,1,0,0,0,0,18.54370464,0.766386371,0,0.251066911,4.95354457,0,0,0.078648913,0,0,0,0,24.59335141,19.38873993,5.970997852,24.3422845,18.62235355,0,0,0
11-Jun-89,32670,6,11,1989,24,47,33,5,0,4,4,0,1,0,0,0,0,0,10.38247494,1.68411773,0,1.004267645,6.604726093,0,0.334035168,0,0,0,0,0,19.67558641,12.06659267,9.293111468,18.67131877,10.38247494,0,0,0
12-Jun-89,32671,6,12,1989,24,418,270,74,0,40,11,12,9,0,2,0,0,0,169.178506,47.39266333,0,17.05608959,36.8441863,6.203293587,4.903871208,0,3.302363047,0,0,0,279.9771018,216.5711693,110.7985958,253.4153556,169.178506,0,0,0
13-Jun-89,32672,6,13,1989,24,129,122,5,0,1,0,0,0,0,0,1,1,0,43.23780767,0.957982964,0,1.575864849,0,0,0,0,0,0,0.074642639,0,45.84629812,44.27043327,2.533847813,44.27043327,43.23780767,0,0,0
14-Jun-89,32673,6,14,1989,24,99,94,3,0,0,1,0,0,1,0,0,0,0,32.00137878,0.574789778,0,0,1.651181523,0,0,0.078648913,0,0,0,0,34.30599899,32.65481747,2.225971302,34.30599899,32.08002769,0,0,0
15-Jun-89,32674,6,15,1989,24,28,27,0,0,1,0,0,0,0,0,0,0,0,8.60104666,0,0,0.251066911,0,0,0,0,0,0,0,0,8.852113571,8.60104666,0.251066911,8.60104666,8.60104666,0,0,0
16-Jun-89,32675,6,16,1989,24,425,325,32,0,27,9,24,7,0,1,0,0,0,223.9996628,37.16720213,0,8.103604544,14.86063371,12.40658717,2.338246174,0,1.651181523,0,0,0,298.1888719,261.166865,74.18920908,276.0274987,223.9996628,0,0,0
17-Jun-89,32676,6,17,1989,24,131,77,30,0,4,13,6,1,0,0,0,0,0,32.03083909,21.34222844,0,2.329065583,24.68275046,3.101646794,2.231589866,0,0,0,0,0,83.48653038,53.37306753,51.45569128,78.055818,32.03083909,0,0,0
18-Jun-89,32677,6,18,1989,25,97,47,16,0,3,17,12,0,1,0,1,1,0,16.87761846,9.37267434,0,3.402796609,28.0700859,6.203293587,0,0.078648913,0,0,0.074642639,0,64.07976044,26.40358435,47.04885043,54.47367025,16.95626737,0,0,0
19-Jun-89,32678,6,19,1989,25,958,311,289,0,109,22,205,12,0,9,1,1,0,120.414305,413.1812308,0,76.91458467,76.90576326,105.9729321,4.008422013,0,21.29541503,0,0.074642639,0,814.7588735,533.6701784,694.2699258,610.5759417,120.414305,0,0,0
20-Jun-89,32679,6,20,1989,25,320,247,20,0,7,25,15,0,1,1,4,4,0,95.55100077,3.831931855,0,4.407064255,44.49692874,7.754116984,0,0.078648913,1.651181523,0,0.781080278,0,158.5519533,100.2426618,62.14122336,144.7395906,95.62964969,0,0,0
21-Jun-89,32680,6,21,1989,25,104,40,22,0,5,1,27,0,0,9,0,0,0,14.99922817,51.41915148,0,3.904930432,1.651181523,13.95741057,0,0,14.86063371,0,0,0,100.7925359,66.41837965,85.79330771,68.06956117,14.99922817,0,0,0
22-Jun-89,32681,6,22,1989,25,183,105,19,0,12,12,26,1,5,3,0,0,0,39.35966628,4.366470028,0,3.012802936,39.11852224,13.44046944,0.334035168,0.393244565,11.38832589,0,0,0,111.0795014,44.11938088,71.32659054,83.23790312,39.75291085,0,0,0
23-Jun-89,32682,6,23,1989,25,338,161,62,0,13,8,88,6,0,0,0,0,0,62.59899051,70.74093593,0,3.263869847,31.89064173,45.49081964,5.799320403,0,0,0,0,0,213.9852577,133.3399264,151.3862671,165.2305682,62.59899051,0,0,0
24-Jun-89,32683,6,24,1989,25,418,186,53,0,15,17,142,3,2,0,0,0,0,71.00900005,35.81919464,0,5.090801608,28.0700859,73.40564078,1.002105503,0.157297826,0,0,0,0,213.5520208,106.9854925,142.3857229,135.0555784,71.16629788,0,0,0
25-Jun-89,32684,6,25,1989,26,405,274,35,0,11,14,66,2,1,2,0,0,0,113.1212808,30.11651779,0,2.761736025,23.11654133,34.11811473,4.463179732,0.078648913,3.302363047,0,0,0,206.6152027,143.3164475,93.41527291,166.4329889,113.1999297,0,0,0
26-Jun-89,32685,6,26,1989,26,295,178,28,0,12,15,52,7,1,2,0,0,0,76.81843364,39.33918977,0,3.012802936,58.02006537,26.88093888,4.235800873,0.078648913,3.302363047,0,0,0,207.4524425,116.2362723,130.55536,174.2563377,76.89708255,0,0,0
27-Jun-89,32686,6,27,1989,26,427,142,83,0,7,19,167,6,0,3,0,0,0,50.92976008,101.1782474,0,36.99002193,106.0972071,86.32916909,2.004211007,0,4.95354457,0,0,0,386.4779502,152.1080075,335.5481901,258.2052146,50.92976008,0,0,0
28-Jun-89,32687,6,28,1989,26,191,66,22,0,4,4,85,4,4,2,0,0,0,23.68804678,19.08628571,0,1.004267645,6.604726093,43.93999624,3.233695369,1.040962329,3.302363047,0,0,0,98.66664785,43.81529482,73.93763873,50.42002091,24.72900911,0,0,0
29-Jun-89,32688,6,29,1989,26,23,11,8,0,1,2,0,0,1,0,0,0,0,3.265951855,1.532772742,0,0.251066911,10.81558028,0,0,4.326413606,0,0,0,0,20.19178539,9.125138203,12.59941993,19.94071848,7.592365461,0,0,0
30-Jun-89,32689,6,30,1989,26,535,330,47,0,60,7,65,12,2,2,10,10,0,101.4862719,41.55032855,0,15.06401468,14.77566132,33.6011736,4.008422013,2.56076508,3.302363047,0,4.20848314,0,216.5490613,149.8058487,108.2935412,164.58151,104.047037,0,0,0
01-Jul-89,32690,7,1,1989,26,888,727,39,0,12,10,89,6,0,3,2,2,0,231.049831,39.97140971,0,5.662398811,16.51181523,46.00776077,3.901765705,0,14.60571655,0,0.149285279,0,353.9582174,271.170526,122.7591011,287.6823412,231.049831,0,0,0
02-Jul-89,32691,7,2,1989,27,641,410,29,0,6,19,168,5,1,2,1,1,0,133.4233204,27.51318631,0,1.506401468,63.54635555,86.84611022,1.670175839,0.078648913,3.302363047,0,1.805671012,0,318.0220569,162.8208266,182.7144166,226.3671822,133.5019693,0,0,0
03-Jul-89,32692,7,3,1989,27,557,359,75,0,8,29,79,5,0,2,0,0,0,117.6965606,77.45605836,0,2.008535291,85.24664327,40.83834945,1.670175839,0,3.302363047,0,0,0,326.54851,195.1526189,208.8519494,280.3992622,117.6965606,0,0,0
04-Jul-89,32693,7,4,1989,27,143,91,23,0,2,8,18,1,0,0,0,0,0,32.86452277,16.42580407,0,0.502133823,13.20945219,9.304940381,0.334035168,0,0,0,0,0,72.30685323,49.29032684,39.44233046,62.49977903,32.86452277,0,0,0
05-Jul-89,32694,7,5,1989,27,136,53,29,0,8,4,38,1,0,3,0,0,0,16.90518861,20.65406351,0,2.008535291,6.604726093,19.64376303,2.231589866,0,4.95354457,0,0,0,70.76982109,37.55925211,53.86463249,44.16397821,16.90518861,0,0,0
06-Jul-89,32695,7,6,1989,27,558,247,117,0,8,23,146,8,0,8,1,1,0,77.42780004,123.067874,0,2.008535291,58.35995491,75.47340531,2.672281342,0,13.20945219,0,1.805671012,0,351.3526927,202.301345,272.1192217,260.6613,77.42780004,0,0,0
07-Jul-89,32696,7,7,1989,27,228,148,41,0,2,8,26,2,0,1,0,0,0,56.80352402,22.72513858,0,1.82693176,13.20945219,13.44046944,0.668070336,0,1.651181523,0,0,0,109.6566975,79.5286626,52.85317349,92.73811479,56.80352402,0,0,0
08-Jul-89,32697,7,8,1989,27,141,72,40,0,5,10,5,3,4,1,1,1,0,23.13099755,7.66386371,0,2.580132494,24.02503246,2.584705661,1.002105503,0.314595652,4.868572184,0,0.557152361,0,65.72505208,31.66660928,41.72230651,55.69164174,23.4455932,0,0,0
09-Jul-89,32698,7,9,1989,28,223,139,43,0,10,7,15,5,0,1,3,1,2,48.86980718,47.17588442,0,24.49076314,30.23946021,7.754116984,1.670175839,0,1.651181523,0,1.805671012,584.5228412,161.9868845,682.3742038,111.3114063,712.613664,48.86980718,0,0,0
10-Jul-89,32699,7,10,1989,28,59,18,27,0,5,3,3,1,0,2,0,0,0,5.928904233,8.72824795,0,1.255334557,4.95354457,1.550823397,0.334035168,0,9.737144368,0,0,0,32.15399907,14.65715218,26.22509484,19.61069675,5.928904233,0,0,0
11-Jul-89,32700,7,11,1989,28,76,37,24,0,3,4,6,2,0,0,0,0,0,10.98547442,11.68552507,0,2.077998672,6.604726093,3.101646794,0.668070336,0,0,0,0,0,34.45537105,22.67099949,23.46989663,29.27572558,10.98547442,0,0,0
12-Jul-89,32701,7,12,1989,28,382,249,23,0,24,6,69,4,0,0,7,7,0,77.43699009,5.858991165,0,6.025605872,9.90708914,35.66893813,1.336140671,0,0,0,3.900066524,0,138.7976809,87.19604778,57.4606243,97.10313692,77.43699009,0,0,0
13-Jul-89,32702,7,13,1989,28,739,520,112,0,56,11,28,8,1,2,1,1,0,157.8981676,54.08112335,0,25.02466607,24.59777808,14.4743517,2.672281342,1.212619783,3.302363047,0,0.074642639,0,280.6657123,213.2665534,121.4802822,237.8643315,159.1107874,0,0,0
14-Jul-89,32703,7,14,1989,28,160,99,41,0,11,7,0,2,0,0,0,0,0,29.3935667,7.855460302,0,2.761736025,11.55827066,0,0.668070336,0,0,0,0,0,51.56903369,37.249027,22.17546699,48.80729766,29.3935667,0,0,0
15-Jul-89,32704,7,15,1989,28,289,148,64,0,30,14,22,10,0,1,0,0,0,43.94189769,55.4512998,0,11.8958246,23.11654133,11.37270491,11.68191594,0,1.651181523,0,0,0,147.4294498,99.39319749,103.4875522,122.5097388,43.94189769,0,0,0
16-Jul-89,32705,7,16,1989,29,595,510,38,0,13,15,9,7,0,0,3,3,0,156.0983592,7.280670524,0,3.263869847,24.76772285,4.65247019,2.338246174,0,0,0,0.223927918,0,196.2870206,163.6029577,39.96473341,188.3706805,156.0983592,0,0,0
17-Jul-89,32706,7,17,1989,29,560,411,46,0,51,16,25,7,0,3,1,1,0,125.5355538,46.79014067,0,17.16822973,33.9321216,12.92352831,2.338246174,0,8.170935231,0,0.074642639,0,244.595152,172.4003371,118.9849555,206.3324587,125.5355538,0,0,0
18-Jul-89,32707,7,18,1989,29,294,163,27,0,59,13,32,0,0,0,0,0,0,48.3954684,41.04397022,0,19.17676502,24.68275046,16.54211623,0,0,0,0,0,0,149.8410703,89.43943862,101.4456019,114.1221891,48.3954684,0,0,0
19-Jul-89,32708,7,19,1989,29,156,60,48,0,5,10,25,5,0,2,1,1,0,17.81428285,62.25582024,0,2.580132494,16.51181523,12.92352831,1.670175839,0,3.302363047,0,0.074642639,0,115.4625848,80.14474572,97.57365932,96.65656096,17.81428285,0,0,0
